item,itemLabel,startDate,endDate
Q6224672,John Coyle White,1977,1978
Q6198942,Jim Williams,1979,1981
Q376348,Richard Edmund Lyng,1981,1985
Q72714294,John R. Norton III,1985,1986
Q7173137,Peter C. Myers,1986,1989
Q6114525,Jack Parnell,1989,1991
Q292936,Ann Veneman,1991,1993
Q62567719,Richard Rominger,1993-05-12,2001-01-20
,Jim Moseley,2001-08,2005-04
Q2967584,Charles F. Conner,2005-05-02,2009-01-20
Q6376845,Kathleen Merrigan,2009-04-08,2013-03-14
Q29920096,Krysta Harden,2013-07-23,2016-02-29
Q28317075,Michael Scuse,2016-03-01,2017-01-20
Q30274534,Michael Young,2017-01-20,2017-10-10
Q34414080,Stephen Censky,2017-10-11,2020-11-08
Q104887666,Jewel H. Bronaugh,2021-05-17,
