item,itemLabel,startDate,endDate
Q962660,W. Stuart Symington,1947-09-18,1950-04-24
Q1723653,Thomas K. Finletter,1950-04-24,1953-01-20
Q15497642,Harold E. Talbott,1953-02-04,1955-08-13
Q927712,Donald A. Quarles,1955-08-15,1957-04-30
Q1589127,"James H. Douglas, Jr.",1957-05-01,1959-12-10
Q5311824,Dudley C. Sharp,1959-12-11,1961-01-20
Q1373143,Eugene M. Zuckert,1961-01-24,1965-09-30
Q552916,Harold Brown,1965-10-01,1969-02-15
Q2158806,"Robert C. Seamans, Jr.",1969-02-15,1973-05-15
Q1700757,John L. McLucas,1973-05-15,1973-07-18
Q1700757,John L. McLucas,1973-07-18,1975-11-23
Q6144879,James W. Plummer,1975-11-24,1976-01-01
Q7788162,Thomas C. Reed,1976-01-02,1977-04-06
Q6225786,John C. Stetson,1977-04-06,1979-05-18
Q11974076,Hans Mark,1979-05-18,1979-07-26
Q11974076,Hans Mark,1979-07-26,1981-02-09
Q7921977,Verne Orr,1981-02-09,1985-11-30
Q7381319,Russell A. Rourke,1985-12-09,1986-04-06
Q5342126,Edward C. Aldridge Jr.,1986-04-06,1986-06-08
Q5342126,Edward C. Aldridge Jr.,1986-06-09,1988-12-16
Q16107422,James F. McGovern,1988-12-16,1989-04-29
Q6241324,"John J. Welch, Jr.",1989-04-29,1989-05-21
Q5295059,Donald B. Rice,1989-05-21,1993-01-20
Q1852641,Michael B. Donley,1993-01-20,1993-07-13
Q511873,Merrill A. McPeak,1993-07-14,1993-08-05
Q55175,Sheila E. Widnall,1993-08-06,1997-10-31
Q5424107,F. Whitten Peters,1997-11-01,1999-07-30
Q5424107,F. Whitten Peters,1999-07-30,2001-01-20
Q6504189,Lawrence J. Delaney,2001-01-21,2001-05-31
Q6134388,James G. Roche,2001-06-01,2005-01-20
Q7172623,Peter B. Teets,2005-01-20,2005-03-25
Q6832872,Michael Montelongo,2005-03-25,2005-03-28
Q16208794,Michael L. Dominguez,2005-03-28,2005-07-29
Q1170156,Pete Geren,2005-07-29,2005-11-04
Q1803180,Michael Wynne,2005-11-04,2008-06-20
Q1852641,Michael B. Donley,2008-06-21,2008-10-02
Q1852641,Michael B. Donley,2008-10-02,2013-06-21
Q13534694,Eric Fanning,2013-06-21,2013-12-20
Q16189325,Deborah Lee James,2013-12-20,2017-01-20
Q28739918,Lisa Disbrow,2017-01-20,2017-05-16
Q459712,Heather Wilson,2017-05-16,2019-05-31
Q35487548,Matthew Donovan,2019-06-01,2019-10-18
Q3500791,Barbara Barrett,2019-10-18,2021-01-20
Q71223298,John P. Roth,2021-01-20,2021-07-28
Q5487663,Frank Kendall III,2021-07-28,
