@@,itemlabel,item,startdate,enddate
+++,Eugene Schuyler,Q2592913,1882-11-10,1884-09-19
+++,Walker Fearn,Q7962256,1884-09-19,1889-10-24
+++,A. Loudon Snowden,Q4648109,1889-10-24,1892-08-25
+++,Eben Alexander,Q5331592,1892-08-25,1897-08-10
+++,William Woodville Rockhill,Q2976980,1897-08-10,1899-04-27
+++,Arthur S. Hardy,Q4800275,1899-04-27,1901-03-02
+++,Charles S. Francis,Q64167177,1901-03-02,1902-12-24
+++,John Brinkerhoff Jackson,Q87759000,1902-12-24,1905-07-13
+++,John W. Riddle,Q6262502,1905-07-13,1907-01-23
+++,Horace G. Knowles,Q5901740,1907-01-23,1909-02-04
+++,John R. Carter,Q75356839,1909-02-04,1911-10-27
+++,John Brinkerhoff Jackson,Q87759000,1911-10-27,1913-10-15
+++,Charles J. Vopicka,Q28726293,1913-10-15,1918-12-17
->,Richard Miles->Richard M. Miles,Q3894653,1996-08,1999-03
->,Michael David Kirby,Q26923856,2012-09-19->2012-08-03,2016-01-29->2016-02-05
->,Anthony Godfrey->Anthony Francis Godfrey,Q77359082,2019-09-30,NULL->2022-02-12
->,Christopher R. Hill->Christopher Robert Hill,Q494953,2021-10-14,
