item,itemLabel,startDate,endDate,sourceDate,psid
Q284230,Arthur Frank Burns,1969-01-20,1969-11-05,,Q284230-e73fc7bb-49c3-aaab-97a8-67e492ece73d
Q387744,"John Otho Marsh, Jr.",1974-08-09,1977-01-20,,Q387744-5d110280-4bcd-3e03-d0d7-42dee1a5d6b1
Q376765,Clayton Keith Yeutter,1992-02-01,1993-01-20,,Q376765-686AA82D-09B9-4855-A97D-5F5367703F41
Q706803,Paul Begala,1997-08-17,1999-03-10,,Q706803-2924E267-70F3-48B3-814F-A2F993971411
Q289257,Karen Hughes,2001-01-20,2002-07-08,,Q289257-49834AD4-DEED-43F6-A3CA-53F9DD7957B1
Q5334860,Ed Gillespie,2007-07-05,2009-01-20,,Q5334860-1529D953-DF7B-4059-971B-E42B2C384475
Q1290431,Pete Rouse,2011-01-13,2014-01-01,,Q1290431-39ed85c1-42fb-85bc-65f8-8c8bad970687
Q1290476,John Podesta,2014-01-01,2015-02-13,,Q1290476-3AC2AFEB-2B51-4631-8888-B11DB0D89C2F
Q1290476,John Podesta,2014-01-01,2015-02-13,,Q1290476-BF8224A6-0F09-413B-8134-D854C1A11897
Q16146870,Steve Bannon,2017-01-20,2017-08-18,,Q16146870-5d7755f8-428d-b415-e742-16a70c90de95
Q6386365,Kellyanne Conway,2017-01-20,2020-08-31,,Q6386365-566B8B2B-E377-4116-9A5D-80BE8551CFD3
Q28606963,John DeStefano,2018-02-09,2019-05-24,,Q28606963-9c3ed30e-42d8-3d88-db2d-8f8d6b84aaf1
Q24851563,Hope Hicks,2020-03-09,2021-01-12,,Q24851563-9498533F-6F62-4959-8BDA-DE7BA6E20960
Q48744354,Derek Lyons,2020-05-20,2021-01-20,,Q48744354-eb4015e1-410b-d4c6-b45d-286efdc0367f
Q3275786,Jeffrey Zients,2021-01-20,2022-04-05,,Q3275786-7AAA3E02-17A0-4980-8C2E-7E48E1761B02
Q7613738,Steve Ricchetti,2021-01-20,,,Q7613738-9D7C9D7A-812E-4F59-8B72-8E133C21A7E1
