item,itemLabel,startDate,endDate
Q210435,J. Edgar Hoover,1935-07-01,1972-05-02
Q740716,Clyde Tolson,1972-05-02,1972-05-03
Q1247788,L. Patrick Gray,1972-05-03,1973-04-27
Q464554,William Ruckelshaus,1973-04-30,1973-07-09
Q447179,Clarence M. Kelley,1973-07-09,1978-02-15
Q2947377,James B. Adams,1978-02-15,1978-02-23
Q368720,William H. Webster,1978-02-23,1987-05-25
Q2920845,John E. Otto,1987-05-26,1987-11-02
Q464299,William S. Sessions,1987-11-02,1993-07-19
Q2920848,Floyd I. Clarke,1993-07-19,1993-09-01
Q1110029,Louis Freeh,1993-09-01,2001-06-25
Q465084,Thomas J. Pickard,2001-06-25,2001-09-04
Q715156,Robert Mueller,2001-09-04,2013-09-04
Q167607,James Comey,2013-09-04,2017-05-09
Q27734885,Andrew McCabe,2017-05-09,2017-08-02
Q30148517,Christopher A. Wray,2017-08-02,
