item,itemLabel,startDate,endDate,sourceDate,psid
Q7799280,Thurgood Marshall Jr.,1997-02-07,2001-01-20,2022-06-01,Q7799280-0EE16E6A-C52D-4640-ADF4-4B805398A5E9
Q112191016,Albert Hawkins III,2001-01-20,2003-01,2022-06-01,Q112191016-535BC999-5E6F-47D9-9927-225561BD4CAF
Q4963500,Brian D. Montgomery,2003-01,2005-02-24,,Q4963500-FF3CA3F9-9B44-45F5-BE3D-BBA4E7FDCE72
Q112191018,Heidi Smith,2005,2006,2022-06-01,Q112191018-401F6BBF-8D8B-4898-82BA-B2BA69701DA8
Q112191019,Neal Burnham,2006,2006,2022-06-01,Q112191019-F78C9CA8-9794-4654-8BF2-265ADA9A6BDA
Q112191023,Ross Kyle,2006-08-09,2009-01-20,2022-06-01,Q112191023-14737534-C2FA-437D-A61C-883755217BE7
Q5107284,Chris Lu,2009-01-20,2013-01-25,,Q5107284-6c21f340-49ac-d66d-8f9f-0c7d47e042fc
Q13562426,Danielle C. Gray,2013-01-25,2014-01-13,,Q13562426-6BC9FFC0-59CB-482D-BF0F-09D2D779692E
Q21064122,Broderick D. Johnson,2014-01-13,2017-01-20,,Q21064122-B34BA330-C0DC-428D-A28C-4E24F1AAFCCF
Q28794097,Bill McGinley,2017-01-20,2019-07-19,,Q28794097-d3412643-47ad-365d-99c2-c8ff1ae949da
Q112191025,Matthew J. Flynn,2019-07-19,2019-09-24,2022-06-01,Q112191025-5F76955A-7DB2-425F-94E6-BEE7178E2280
Q92349440,Kristan King Nevins,2019-09-24,2021-01-20,,Q92349440-CE922336-D9EA-4335-8F01-1D8FD447BE3B
Q5415533,Evan Ryan,2021-01-20,,,Q5415533-CF4F5C6D-8563-4AB3-AEB6-9247DB6EEE86
