item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q2087596,Administrator of the Environmental Protection Agency,Federal Governmental agency within the United States,1970-01-01T00:00:00Z,,Q639738,United States Cabinet,,,Q83307,minister,Q460173,United States Environmental Protection Agency
Q15623718,Administrator of the Small Business Administration,U.S. federal government official,1953-07-30T00:00:00Z,,Q639738,United States Cabinet,,,Q83307,minister,Q495354,Small Business Administration
Q4809023,Assistant Secretary of the Air Force,,,,,,,,Q83307,minister,,
Q27907217,Chair of the Council of Economic Advisers,US government office,,,Q639738,United States Cabinet,,,Q2994387,advisor,Q1137023,Council of Economic Advisers
Q27907217,Chair of the Council of Economic Advisers,US government office,,,Q639738,United States Cabinet,,,Q83307,minister,Q1137023,Council of Economic Advisers
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q105695126,director of intelligence agency,Q786878,United States Intelligence Community
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q105695126,director of intelligence agency,Q851756,United States National Security Council
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q105695126,director of intelligence agency,Q22222677,Office of the Director of National Intelligence
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q1162163,director,Q786878,United States Intelligence Community
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q1162163,director,Q851756,United States National Security Council
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q1162163,director,Q22222677,Office of the Director of National Intelligence
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q140686,chairperson,Q786878,United States Intelligence Community
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q140686,chairperson,Q851756,United States National Security Council
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q140686,chairperson,Q22222677,Office of the Director of National Intelligence
Q1154057,Director of National Intelligence,United States government official,2005-04-22T00:00:00Z,,Q639738,United States Cabinet,,,Q212238,civil servant,Q786878,United States Intelligence Community
